Allied_Nations,Diplomatic_Meetings_Set,Percent_Of_Forces_Mobilized,Hostile_Nations,Active_Threats,Inactive_Threats,Citizen_Fear_Index,Closest_Threat_Distance(km),Aircraft_Carriers_Responding,Troops_Mobilized(thousands),DEFCON_Level,ID
8,1,0.02,1,10,20,0.472099853,351.92,1,862400,2,4835
7,0,0.14,3,9,25,0.398678414,355.1,1,941600,3,6589
9,0,0.31,2,4,44,0.655653451,361.46,1,853600,3,8956
6,0,0.04,2,6,14,0.347283407,381.6,1,1003200,1,6418
11,0,0.44,2,6,19,0.491189427,347.68,1,968000,2,1739
9,0,0.49,2,23,59,0.452276065,340.26,1,915200,2,1081
13,1,0.63,2,6,25,0.633627019,336.02,1,950400,2,230
8,0,0.38,1,4,8,0.278267254,348.74,1,976800,3,7862
7,1,0.04,2,12,31,0.508810573,366.76,0,836000,2,5615
6,1,0.01,2,7,25,0.182819383,365.7,1,1170400,3,8718
7,0,0.37,2,9,30,0.470631424,351.92,1,809600,2,1796
8,0,0.3,3,29,63,0.552863436,349.8,1,915200,3,8646
7,0,0.33,2,12,36,0.479441997,343.44,1,880000,3,925
16,1,0.63,3,10,49,0.626284875,320.12,1,1012000,4,2300
9,0,0.54,5,10,22,0.338472834,340.26,1,1232000,4,6035
7,1,0.02,2,26,42,0.341409692,358.28,1,906400,3,645
8,1,0.31,2,38,44,0.267254038,347.68,1,836000,2,2384
8,1,0.14,2,13,39,0.535242291,351.92,0,844800,3,5453
9,0,0.31,3,12,45,0.626284875,351.92,1,888800,3,9005
7,1,0,2,16,38,0.479441997,362.52,1,924000,2,4175
10,0,0.37,2,26,86,0.53010279,354.04,1,888800,3,9726
6,1,0.11,2,13,26,0.219530103,378.42,1,1003200,1,8335
9,0,0.46,2,6,9,0.455947137,346.62,1,1047200,3,8382
8,1,0.1,2,5,11,0.494126285,375.24,0,862400,3,9993
8,1,0.04,4,5,11,0.611600587,362.52,0,836000,1,875
8,1,0.06,2,22,49,0.380323054,357.22,1,959200,3,2325
12,0,0.55,2,42,133,0.787812041,358.28,0,836000,2,11248
10,0,0.43,2,5,16,0.56020558,340.26,1,880000,2,8489
6,1,0.1,2,18,40,0.354625551,380.54,1,888800,3,7000
10,0,0.47,2,9,34,0.46328928,345.56,1,976800,3,4283
6,1,0,2,6,13,0.182819383,387.96,1,1135200,3,3799
8,1,0.55,2,30,110,0.420704846,333.9,1,836000,2,7372
13,0,0.65,4,6,15,0.831864905,349.8,1,976800,3,9008
6,1,0.02,2,31,63,0.42804699,382.66,1,915200,2,11554
7,1,0.18,2,13,28,0.479441997,351.92,1,836000,2,10570
8,1,0.1,6,10,26,0.429515419,356.16,1,950400,3,12336
10,0,0.53,2,6,26,0.567547724,323.3,1,915200,2,9511
7,1,0,2,9,15,0.228340675,351.92,1,924000,3,9293
8,0,0.32,2,14,36,0.237151248,347.68,1,1012000,3,11680
7,1,0.01,2,13,38,0.363436123,355.1,1,968000,3,9844
7,0,0.31,9,24,91,0.570484581,358.28,1,862400,3,7236
9,0,0.57,4,3,10,0.477973568,350.86,1,1311200,4,11373
9,1,0.25,2,9,38,0.516152717,330.72,1,880000,3,3557
10,1,0.42,2,11,103,0.457415565,340.26,1,836000,2,841
7,1,0.01,2,9,22,0.406020558,362.52,1,968000,3,8482
11,0,0.58,4,5,22,0.655653451,331.78,1,1029600,2,10489
7,1,0,2,4,11,0.582232012,372.06,0,818400,2,8621
10,0,0.58,3,5,13,0.489720999,334.96,1,1073600,4,4769
6,1,0.05,2,19,31,0.27092511,377.36,1,1108800,2,6561
11,0,0.47,2,17,39,0.552863436,343.44,0,950400,2,10412
10,0,0.38,3,17,53,0.582232012,327.54,0,880000,3,722
8,1,0.01,2,3,12,0.377386197,374.18,1,1038400,3,4444
7,0,0.33,2,16,144,0.494126285,345.56,1,836000,2,7948
7,1,0.02,2,5,13,0.450073421,384.78,1,915200,4,9454
7,1,0,2,12,30,0.47650514,366.76,1,959200,3,1518
11,0,0.69,2,6,20,0.530837004,341.32,1,1012000,2,8816
7,1,0.22,4,20,98,0.459618209,344.5,0,827200,2,4818
8,1,0.52,2,13,47,0.52349486,321.18,1,932800,2,11878
7,0,0.6,6,13,19,0.475770925,361.46,1,1020800,3,879
7,1,0.02,2,4,11,0.457415565,361.46,1,880000,2,11437
7,1,0.07,2,16,84,0.54185022,376.3,1,862400,2,253
8,0,0.43,2,29,50,0.362701909,350.86,1,1073600,4,1542
7,1,0.05,6,3,8,0.588105727,365.7,0,968000,1,6986
6,1,0,2,7,19,0.399412628,371,0,1003200,2,10288
9,0,0.41,8,48,278,0.831864905,334.96,1,924000,4,7061
7,0,0.19,2,18,36,0.494126285,375.24,1,950400,3,2189
8,0,0.35,3,5,10,0.360499266,347.68,1,1064800,4,9030
7,1,0.09,3,4,20,0.425110132,342.38,0,827200,2,5662
9,1,0.41,8,31,121,0.656387665,334.96,1,924000,3,1447
9,0,0.27,2,1,44,0.567547724,326.48,1,906400,3,6487
7,1,0,4,27,61,0.429515419,355.1,1,950400,3,505
7,1,0.06,2,9,17,0.320851689,336.02,1,880000,3,3379
10,0,0.2,11,18,43,1,343.44,0,827200,2,9665
7,0,0.11,2,30,52,0.417767988,360.4,0,862400,3,8107
10,0,0.46,2,5,16,0.496328928,330.72,1,959200,3,9715
8,0,0.34,2,6,17,0.435389134,349.8,1,862400,3,11780
7,1,0.09,2,24,49,0.508810573,355.1,1,792000,2,8538
8,1,0.26,2,11,41,0.552863436,363.58,1,836000,2,784
8,0,0.33,2,16,38,0.442731278,357.22,1,968000,3,6884
8,0,0.26,2,10,28,0.42143906,336.02,1,897600,3,2895
11,0,0.39,2,3,9,0.347283407,339.2,1,968000,4,7463
7,0,0.36,2,21,65,0.520558003,365.7,1,836000,2,2426
13,0,0.52,3,5,29,0.633627019,339.2,1,950400,4,2831
8,1,0.21,2,21,84,0.398678414,330.72,0,818400,2,8511
7,0,0.21,2,21,36,0.400881057,359.34,1,796400,2,535
7,0,0,1,27,44,0.42804699,355.1,1,1029600,4,4064
10,0,0.49,2,6,13,0.685022026,345.56,1,924000,2,6740
9,0,0.23,2,18,47,0.508076358,357.22,1,880000,4,4975
7,1,0.02,2,17,34,0.464757709,369.94,1,994400,3,7567
12,0,0.55,2,12,29,0.420704846,337.08,1,1056000,4,7293
7,1,0.06,2,4,8,0.441262849,358.28,1,880000,1,2331
8,1,0,2,18,27,0.558737151,359.34,0,844800,1,11061
11,1,0.22,3,33,73,0.758443465,358.28,0,985600,2,2055
8,1,0.21,2,21,66,0.398678414,349.8,0,836000,2,6088
8,1,0.23,2,25,88,0.442731278,358.28,1,818400,3,1470
10,1,0.23,2,19,46,0.685022026,337.08,1,932800,3,2715
7,1,0.31,2,31,89,0.420704846,351.92,0,827200,1,9561
6,0,0.21,2,20,47,0.500734214,359.34,1,853600,2,10101
8,1,0.26,2,17,119,0.464757709,345.56,1,844800,2,10811
7,0,0.33,2,9,29,0.396475771,373.12,1,836000,2,6245
5,1,0.19,8,29,65,0.171071953,366.76,1,1012000,4,668
10,0,0.49,5,9,24,0.350220264,341.32,1,1179200,3,9378
7,0,0.29,2,31,54,0.503671072,369.94,0,818400,2,11775
7,1,0.23,2,32,96,0.458883994,351.92,1,818400,3,2211
8,0,0.42,2,18,30,0.262114537,332.84,1,1091200,3,6267
8,0,0.7,2,27,116,0.538179148,331.78,1,836000,2,6731
8,0,0.53,2,5,9,0.439060206,319.06,1,1003200,3,125
9,0,0.39,2,17,43,0.310572687,337.08,1,1056000,3,268
12,1,0.5,3,19,112,0.699706314,332.84,1,827200,3,1738
7,1,0.04,2,12,67,0.497797357,365.7,1,827200,1,830
9,0,0.41,8,6,24,0.919970631,358.28,1,809600,2,1715
8,0,0.44,2,6,16,0.406020558,360.4,1,968000,3,9318
13,0,0.55,2,5,47,0.707048458,323.3,1,880000,3,7677
8,1,0.12,2,15,59,0.498531571,340.26,1,844800,2,12443
12,0,0.55,2,5,22,0.709985316,340.26,1,959200,3,11549
13,1,0.45,2,20,46,0.773127753,321.18,1,897600,3,5006
8,1,0,2,8,13,0.430249633,356.16,1,880000,4,11966
8,0,0.32,2,14,87,0.513215859,338.14,1,844800,3,5027
11,0,0.39,16,6,15,0.714390602,325.42,1,959200,2,10645
6,1,0.06,2,38,46,0.353891336,356.16,0,836000,2,12279
10,0,0.47,2,17,31,0.406020558,362.52,1,976800,3,366
8,0,0.31,2,8,24,0.444933921,348.74,1,968000,3,11277
6,1,0,4,32,77.5,0.494126285,371,1,827200,3,1428
10,0,0.47,2,9,21,0.46328928,338.14,1,1003200,3,519
10,0,0.41,3,4,12,0.516152717,352.98,1,1073600,4,7452
8,1,0.23,2,20,45,0.385462555,351.92,0,844800,2,10896
7,1,0.07,2,16,86,0.542584435,374.18,1,853600,3,11762
6,0,0.53,2,6,14,0.104992658,352.98,0,1196800,3,36
7,0,0.42,2,14,21,0.437591777,354.04,1,968000,3,299
9,1,0.49,3,38,153,0.573421439,326.48,1,765600,2,10364
10,0,0.49,6,9,17,0.582232012,339.2,1,968000,3,4748
8,1,0.1,3,4,13,0.53671072,375.24,1,976800,1,2548
10,0,0.55,2,5,11,0.401615272,352.98,1,1047200,3,5900
8,1,0.05,2,8,32,0.615271659,348.74,1,818400,2,10758
11,1,0.66,2,7,23,0.5969163,350.86,1,924000,2,5128
8,0,0.28,2,19,122,0.494126285,334.96,1,841866.6667,2,9055
6,1,0.09,2,7,28,0.303230543,356.16,1,985600,2,4358
8,0,0.29,4,5,18,0.388399413,351.92,1,994400,3,4743
12,0,0.49,1,10,26,0.699706314,321.18,1,897600,3,2332
8,1,0,2,27,44,0.419236417,357.22,1,941600,2,6164
9,0,0.57,3,3,9,0.477973568,330.72,1,968000,3,7135
6,0,0.29,13,72,82,0.414831131,373.12,1,1047200,3,2751
8,1,0.12,2,38,48,0.386196769,358.28,0,888800,2,6522
7,0,0.49,2,26,67,0.332599119,355.1,1,1135200,4,11580
8,0,0.4,2,24,50,0.362701909,358.28,1,1073600,4,2877
8,1,0.36,6,7,23,0.389867841,345.56,1,1056000,3,10305
8,0,0.2,2,18,24,0.376651982,329.66,0,880000,3,7578
8,0,0.25,3,30,68,0.552863436,339.2,1,827200,2,4035
7,0,0.38,3,18,72,0.357562408,330.72,1,1056000,4,2125
8,1,0.08,3,14,27,0.584434655,367.82,1,827200,3,3745
9,0,0.43,2,12,21,0.400146843,355.1,1,1020800,4,5679
7,1,0.17,2,15,24,0.455212922,373.12,1,968000,3,11557
7,0,0.26,2,13,31,0.42143906,363.58,1,880000,3,11576
8,1,0.2,2,9,75,0.486784141,338.14,1,844800,2,574
9,1,0.04,2,24,43,0.450073421,332.84,0,844800,2,7566
11,0,0.52,3,10,24,0.508810573,339.2,1,1064800,4,9505
12,0,0.5,2,6,24,0.674008811,332.84,1,959200,4,2443
6,0,0.16,2,11,18,0.398678414,356.16,0,862400,3,5129
7,1,0.25,5,51,60,0.429515419,360.4,1,1012000,3,3991
10,0,0.49,3,5,17,0.655653451,338.14,1,941600,3,7631
11,0,0.48,2,14,33,0.582232012,343.44,1,862400,3,5509
8,1,0.42,2,8,31,0.582232012,365.7,1,950400,2,78
8,0,0.25,2,19,66,0.435389134,356.16,0,836000,1,6829
13,1,0.49,2,5,15,0.787812041,339.2,1,844800,3,8799
13,0,0.62,2,6,16,0.685022026,334.96,1,915200,2,5823
12,0,0.47,2,9,28,0.685022026,322.24,1,897600,2,10473
8,0,0.42,2,9,17,0.30763583,332.84,1,1091200,3,3176
7,1,0,2,12,30,0.47650514,374.18,1,836000,2,5681
6,1,0.02,2,8,32,0.479441997,377.36,1,862400,2,3377
7,1,0.02,3,35,73,0.508810573,351.92,1,818400,1,9776
8,1,0.22,2,43,145,0.494126285,342.38,1,827200,2,9533
10,1,0.11,3,30,73,0.802496329,337.08,1,792000,2,4161
9,0,0.41,2,10,24,0.351688693,345.56,1,1038400,3,6786
8,0,0.34,3,26,60,0.486784141,355.1,1,985600,4,5064
9,1,0.11,2,20,42,0.559471366,357.22,1,932800,2,2836
8,1,0.1,2,28,53,0.45154185,359.34,1,853600,2,4301
9,1,0.24,2,7,27,0.479441997,339.2,1,827200,2,11427
7,1,0.07,2,8,23,0.411894273,367.82,1,924000,2,1764
8,0,0.37,2,5,12,0.30763583,341.32,1,976800,4,4916
7,0,0.3,3,31,135,0.226872247,345.56,1,1020800,3,6422
9,0,0.57,2,14,27,0.373715125,343.44,1,994400,4,4565
9,1,0.02,2,4,28,0.60866373,375.24,1,897600,3,1476
6,1,0,2,7,16,0.341409692,371,1,1003200,2,8266
12,0,0.51,2,6,21,0.575624082,329.66,1,897600,2,8539
8,1,0.02,3,3,14,0.503671072,345.56,1,924000,3,2915
8,1,0.29,4,51,145,0.508810573,341.32,1,906400,2,959
7,1,0.05,5,4,11,0.495594714,352.98,1,994400,2,8117
12,0,0.66,2,6,20,0.640969163,319.06,1,880000,2,7679
8,0,0.42,2,8,32,0.494126285,366.76,1,888800,3,3363
8,0,0.23,2,18,34,0.354625551,341.32,1,862400,3,5209
9,1,0.34,2,7,31,0.60866373,355.1,1,924000,2,10923
8,1,0.22,3,14,104,0.490455213,338.14,1,844800,2,10690
9,0,0.27,2,29,136,0.611600587,334.96,1,809600,2,6935
9,0,0.47,2,19,52,0.501468429,354.04,1,924000,4,2374
6,1,0.15,2,6,19,0.482378855,354.04,1,862400,2,3754
9,0,0.33,2,12,19,0.502936858,360.4,1,906400,4,11064
9,1,0.24,2,7,28,0.655653451,357.22,0,897600,2,8471
8,1,0.06,2,14,113,0.361967695,306.34,0,818400,2,10121
9,1,0.28,2,11,32,0.475036711,352.98,1,836000,2,2218
8,0,0.29,4,17,44,0.47650514,355.1,1,985600,3,6806
8,0,0.4,3,8,18,0.532305433,352.98,1,924000,2,5498
7,1,0.08,2,42,44,0.378120411,349.8,1,985600,3,157
7,1,0.01,2,11,20,0.435389134,352.98,1,906400,2,3708
10,0,0.4,2,6,10,0.526431718,343.44,1,1003200,2,726
7,1,0.02,2,35,92,0.40969163,344.5,1,976800,3,7472
7,1,0,2,7,13,0.353157122,362.52,1,968000,2,3421
9,0,0.36,2,6,15,0.417767988,349.8,1,827200,3,9891
7,1,0.01,2,17,34,0.427312775,355.1,1,809600,2,337
7,0,0.14,3,15,25,0.479441997,364.64,1,1064800,3,2393
11,0,0.54,3,9,17,0.52349486,340.26,1,968000,3,683
9,1,1,2,37,153,0.516152717,352.98,0,862400,3,10206
10,1,0.27,2,7,54,0.5969163,340.26,1,818400,2,3402
10,0,0.4,2,6,16,0.56020558,354.04,1,959200,4,5631
8,0,0.37,3,24,110,0.516152717,306.34,2,800800,2,9442
12,0,0.52,2,14,25,0.589574156,320.12,1,862400,4,1556
8,1,0.2,1,9,65,0.486784141,358.28,1,818400,2,7380
11,0,0.5,3,20,55,0.582232012,334.96,1,836000,2,4969
13,0,0.49,3,5,21,0.626284875,327.54,1,1003200,3,3415
5,1,0,1,16,59,0.107929515,425.06,1,1196800,4,3946
7,1,0.08,4,9,18,0.418502203,363.58,1,941600,4,899
7,1,0,2,14,38,0.479441997,360.4,1,836000,2,1552
7,1,0.07,2,11,16,0.442731278,362.52,1,968000,3,3381
12,0,0.48,2,8,20,0.670337739,327.54,1,915200,2,2412
12,0,0.51,3,26,89,0.746696035,338.14,1,836000,2,823
12,0,0.49,4,19,43,0.567547724,333.9,1,836000,2,11283
7,1,0.01,2,8,25,0.52349486,367.82,1,809600,2,5944
11,0,0.66,3,12,25,0.457415565,320.12,1,1056000,3,4209
7,0,0.15,2,8,44,0.406020558,359.34,0,809600,2,6710
8,1,0,2,30,35,0.378120411,354.04,1,950400,2,5093
9,0,0.45,1,21,46,0.611600587,359.34,1,853600,2,5317
10,1,0.64,4,6,19,0.685022026,334.96,1,844800,2,6293
6,1,0.21,2,8,25,0.500734214,382.66,1,818400,3,7073
7,1,0.05,2,13,31,0.395007342,362.52,1,959200,3,9859
6,0,0.19,3,10,25,0.500734214,340.26,1,906400,3,10455
7,0,0.04,2,6,15,0.435389134,355.1,1,792000,3,4548
7,1,0.02,2,9,14,0.406020558,359.34,1,853600,3,3886
10,0,0.46,2,5,13,0.685022026,332.84,1,800800,3,7692
8,1,0.24,2,5,15,0.534508076,357.22,1,836000,3,5775
8,0,0.53,2,7,21,0.46989721,356.16,1,924000,2,10499
8,0,0.42,2,9,24,0.486784141,351.92,1,827200,3,10342
10,0,0.49,5,9,28,0.5969163,337.08,1,809600,3,2275
9,0,0.51,2,17,29,0.351688693,339.2,1,994400,4,1989
7,1,0.02,2,26,85,0.475770925,354.04,1,836000,2,1631
7,1,0,2,3,8,0.334067548,336.02,1,862400,2,7203
11,0,0.49,3,5,21,0.655653451,341.32,1,880000,2,9892
6,0,0.19,2,13,31,0.538179148,387.96,1,950400,4,1346
8,2,0.05,2,10,39,0.56020558,374.18,1,871200,3,12419
9,0,0.39,2,12,31,0.310572687,332.84,1,994400,5,12005
7,1,0.12,2,4,7,0.435389134,356.16,1,888800,1,11154
6,1,0.2,2,14,39,0.500734214,375.24,1,950400,3,409
13,0,0.49,4,10,24,0.552863436,325.42,1,1056000,3,11265
7,0,0.33,2,14,42,0.528634361,367.82,1,818400,2,11361
12,0,0.51,2,12,30,0.534508076,340.26,1,871200,4,12388
11,0,0.66,4,6,18,0.350220264,340.26,1,1179200,4,4912
9,0,0.34,2,5,17,0.626284875,352.98,1,924000,2,6770
6,0,0.14,1,15,25,0.331864905,354.04,1,862400,3,9596
7,1,0,2,15,21,0.435389134,354.04,1,862400,2,7095
10,0,0.42,2,6,16,0.563142438,341.32,1,915200,2,5733
10,0,0.59,3,11,27,0.457415565,328.6,1,1056000,4,1246
8,1,0.34,2,28,79,0.545521292,356.16,1,871200,2,4788
9,1,0.11,3,17,40,0.611600587,364.64,1,976800,3,424
7,1,0.02,2,35,111,0.45154185,352.98,1,827200,2,5476
8,1,0.19,2,15,105,0.361967695,346.62,1,976800,3,10603
9,1,0.26,2,9,21,0.486784141,347.68,1,809600,2,8307
7,1,0,2,13,35,0.52349486,358.28,1,827200,4,478
8,1,0,2,5,14,0.486784141,344.5,1,836000,3,8043
11,0,0.41,1,7,15,0.491189427,340.26,1,959200,4,11484
12,0,0.51,2,17,69,0.707048458,322.24,1,818400,2,7155
8,0,0.25,4,5,16,0.52349486,348.74,1,844800,3,8674
7,1,0,3,8,16,0.398678414,359.34,0,950400,2,11268
10,1,0.27,2,35,152,0.569016153,333.9,1,809600,2,8942
7,0,0.25,2,4,28,0.42143906,360.4,1,796400,2,9017
7,1,0.25,2,32,141,0.501468429,364.64,1,836000,2,5293
8,1,0.29,2,15,81,0.457415565,340.26,1,836000,3,11763
9,0,0.39,2,4,17,0.516152717,351.92,1,800800,3,140
6,0,0.25,2,13,50,0.500734214,366.76,1,836000,3,11552
9,0,0.32,3,21,84,0.5969163,347.68,1,853600,2,12168
11,0,0.57,2,7,26,0.72907489,322.24,1,836000,2,3706
7,0,0.24,2,19,36,0.316446402,361.46,1,985600,3,8042
9,1,0.31,3,17,40,0.714390602,368.88,2,862400,2,4845
9,0,0.33,2,52,68,0.57195301,367.82,1,976800,3,5759
7,0,0.27,2,21,37,0.400881057,357.22,1,915200,2,8301
7,0,0.49,2,26,121,0.386930984,356.16,1,985600,3,9209
9,0,0.45,2,20,46,0.611600587,358.28,1,800800,2,12026
8,1,0.11,2,7,23,0.464757709,343.44,1,818400,2,99
7,1,0.09,4,6,48,0.685022026,358.28,1,888800,2,5479
8,1,0.31,2,21,112,0.494126285,306.34,1,836000,2,4420
10,0,0.46,1,6,14,0.685022026,332.84,1,809600,3,7624
6,0,0,1,25,52,0.331864905,369.94,1,985600,3,836
8,1,0,6,32,115,0.522026432,339.2,1,844800,2,3097
7,0,0.04,2,13,26,0.479441997,366.76,1,924000,2,3813
9,1,0,3,9,22,0.711453744,356.16,0,827200,2,6637
8,0,0.06,4,26,94,0.538179148,341.32,1,871200,3,9651
7,1,0.32,2,51,148,0.494126285,356.16,1,827200,2,8153
8,1,0,2,10,18,0.449339207,344.5,1,853600,2,8080
12,0,0.56,2,6,20,0.699706314,338.14,1,994400,2,12383
9,1,0.49,2,21,77,0.473568282,304.22,2,800800,3,9609
7,1,0.08,2,10,16,0.442731278,361.46,1,888800,2,4462
14,0,0.44,2,14,33,0.802496329,337.08,1,844800,3,992
8,1,0,2,7,15,0.389867841,334.96,0,862400,2,7646
8,1,0.7,2,30,110,0.40969163,319.06,1,836000,2,1311
8,1,0.03,2,14,111,0.389867841,346.62,1,906400,2,11379
7,1,0.01,2,8,27,0.567547724,372.06,1,862400,2,508
